,#,Team
0,1,Germany
1,2,Brazil
2,3,Belgium
3,4,Portugal
4,5,Argentina
5,6,Switzerland
6,7,France
7,8,Poland
8,9,Chile
9,10,Spain
10,11,Peru
11,12,Denmark
12,13,England
13,14,Uruguay
14,15,Mexico
15,16,Colombia
16,17,Netherlands
17,18,Wales
18,19,Italy
19,20,Croatia
20,21,Tunisia
21,22,Iceland
22,23,Costa Rica
23,24,Sweden
24,25,United States
25,26,Austria
26,27,Senegal
27,28,Slovakia
28,29,Northern Ireland
29,30,Romania
30,31,Republic of Ireland
31,32,Paraguay
32,33,Venezuela
33,34,Serbia
34,35,Ukraine
35,36,Australia
36,37,Iran
37,38,Turkey
38,39,Congo DR
39,40,Bosnia-Herzegovina
40,41,Morocco
41,42,Scotland
42,43,Montenegro
43,44,Greece
44,45,Egypt
45,46,Czech Republic
46,47,Ghana
47,48,Nigeria
48,49,Bulgaria
49,50,Cameroon
50,51,Hungary
51,52,Burkina Faso
52,53,Norway
53,54,Jamaica
54,55,Panama
55,56,Slovenia
56,57,Korea Republic
57,58,Albania
58,59,Bolivia
59,60,Ecuador
60,61,Japan
61,62,Honduras
62,63,Finland
63,64,Mali
64,65,Cape Verde Islands
65,66,Algeria
66,67,Saudi Arabia
67,68,Côte d'Ivoire
68,69,Guinea
69,70,Russia
70,71,FYR Macedonia
71,72,El Salvador
72,73,Syria
73,74,South Africa
74,75,China PR
75,76,Zambia
76,77,UAE
77,78,Belarus
78,79,Lebanon
79,80,Canada
80,81,Curaçao
81,82,Uganda
82,83,Congo
83,84,Oman
84,85,Gabon
85,86,Luxembourg
86,87,Cyprus
87,88,Benin
88,89,Iraq
89,90,Faroe Islands
90,91,Trinidad and Tobago
91,92,Kyrgyzstan
92,93,Israel
93,94,Estonia
94,95,Uzbekistan
95,96,Georgia
96,97,India
97,98,Qatar
98,99,Palestine
99,100,Armenia
100,101,Libya
101,102,Vietnam
102,103,Niger
103,104,Haiti
104,105,Azerbaijan
105,106,Madagascar
106,107,Mauritania
107,108,Korea DPR
108,109,Central African Republic
109,110,Jordan
110,111,Sierra Leone
111,112,Kenya
112,113,Bahrain
113,114,Mozambique
114,115,Philippines
115,116,Namibia
116,117,Kazakhstan
117,118,Zimbabwe
118,119,Tajikistan
119,120,New Zealand
120,121,Guinea-Bissau
121,122,Thailand
122,123,Malawi
123,124,Chinese Taipei
124,125,Togo
125,126,Lithuania
126,127,Antigua and Barbuda
127,128,Sudan
128,129,Latvia
129,130,Turkmenistan
130,131,Andorra
131,132,Nicaragua
132,133,Yemen
133,134,Swaziland
134,135,St. Kitts and Nevis
135,136,Rwanda
136,137,Angola
137,138,Myanmar
138,139,Botswana
139,140,Tanzania
140,141,Kosovo
141,142,Hong Kong
142,143,Equatorial Guinea
143,144,Solomon Islands
144,145,Afghanistan
145,146,Guatemala
146,147,Lesotho
147,148,Burundi
148,149,Comoros
149,150,Maldives
150,151,Ethiopia
151,152,Dominican Republic
152,153,Suriname
153,154,New Caledonia
154,155,Mauritius
155,156,South Sudan
156,157,Tahiti
157,158,Liberia
158,159,Kuwait
159,160,Barbados
160,161,Nepal
161,162,Vanuatu
162,163,Belize
163,164,Indonesia
164,165,Fiji
165,166,Cambodia
166,167,Papua New Guinea
167,168,Grenada
168,169,Singapore
169,170,St. Lucia
170,171,Malaysia
171,172,Gambia
172,173,St. Vincent / Grenadines
173,174,Puerto Rico
174,175,Chad
175,176,Moldova
176,177,Dominica
177,178,Bermuda
178,179,Laos
179,180,Liechtenstein
180,181,Cuba
181,182,Guyana
182,183,Bhutan
183,184,Malta
184,185,Macao
185,186,Mongolia
186,187,São Tomé e Príncipe
187,188,Seychelles
188,189,Aruba
189,190,Guam
190,191,Timor-Leste
191,192,American Samoa
192,193,Cook Islands
193,194,Bangladesh
194,195,Gibraltar
195,196,Brunei
196,197,Djibouti
197,198,Samoa
198,199,US Virgin Islands
199,200,Sri Lanka
200,201,Pakistan
201,202,Cayman Islands
202,203,San Marino
203,204,British Virgin Islands
204,205,Montserrat
205,206,Turks and Caicos Islands
206,207,Anguilla
207,208,Bahamas
208,209,Eritrea
209,210,Somalia
210,211,Tonga
